PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33834704","The superior parietal lobule of primates: a sensory-motor hub for interaction with the environment","Passarelli L, Gamberini M, Fattori P.","J Integr Neurosci. 2021 Mar 30;20(1):157-171. doi: 10.31083/j.jin.2021.01.334.","Passarelli L","J Integr Neurosci","2021","2021/04/09","","","10.31083/j.jin.2021.01.334"
"33757907","Examining cross-modal fMRI adaptation for observed and executed actions in the monkey brain","Cui D, Nelissen K.","Neuroimage. 2021 Jun;233:117988. doi: 10.1016/j.neuroimage.2021.117988. Epub 2021 Mar 20.","Cui D","Neuroimage","2021","2021/03/24","","","10.1016/j.neuroimage.2021.117988"
"33654627","A Novel Case of Cerebral Diplopia Secondary to a Posterior Parietal Cortex Ischemic Infarct: Proposal of a Mechanism of Generation of Polyopia Due to Convergence Insufficiency","Kesserwani H.","Cureus. 2021 Jan 28;13(1):e12962. doi: 10.7759/cureus.12962.","Kesserwani H","Cureus","2021","2021/03/03","PMC7912157","","10.7759/cureus.12962"
"33511726","An 8-dipole transceive and 24-loop receive array for non-human primate head imaging at 10.5 T","Lagore RL, Moeller S, Zimmermann J, DelaBarre L, Radder J, Grant A, Ugurbil K, Yacoub E, Harel N, Adriany G.","NMR Biomed. 2021 Apr;34(4):e4472. doi: 10.1002/nbm.4472. Epub 2021 Jan 29.","Lagore RL","NMR Biomed","2021","2021/01/29","PMC8103796","NIHMS1682364","10.1002/nbm.4472"
"33484849","The nonhuman primate neuroimaging and neuroanatomy project","Hayashi T, Hou Y, Glasser MF, Autio JA, Knoblauch K, Inoue-Murayama M, Coalson T, Yacoub E, Smith S, Kennedy H, Van Essen DC.","Neuroimage. 2021 Apr 1;229:117726. doi: 10.1016/j.neuroimage.2021.117726. Epub 2021 Jan 20.","Hayashi T","Neuroimage","2021","2021/01/23","PMC8079967","NIHMS1688396","10.1016/j.neuroimage.2021.117726"
"33483325","A Whole-Cortex Probabilistic Diffusion Tractography Connectome","Rosen BQ, Halgren E.","eNeuro. 2021 Feb 23;8(1):ENEURO.0416-20.2020. doi: 10.1523/ENEURO.0416-20.2020. Print 2021 Jan-Feb.","Rosen BQ","eNeuro","2021","2021/01/23","PMC7920542","","10.1523/ENEURO.0416-20.2020"
"33338613","Altered hippocampal-prefrontal functional network integrity in adult macaque monkeys with neonatal hippocampal lesions","Li CX, Li Z, Hu X, Zhang X, Bachevalier J.","Neuroimage. 2021 Feb 15;227:117645. doi: 10.1016/j.neuroimage.2020.117645. Epub 2020 Dec 15.","Li CX","Neuroimage","2021","2020/12/18","","","10.1016/j.neuroimage.2020.117645"
"33137475","The macaque brain ONPRC18 template with combined gray and white matter labelmap for multimodal neuroimaging studies of Nonhuman Primates","Weiss AR, Liu Z, Wang X, Liguore WA, Kroenke CD, McBride JL.","Neuroimage. 2021 Jan 15;225:117517. doi: 10.1016/j.neuroimage.2020.117517. Epub 2020 Nov 1.","Weiss AR","Neuroimage","2021","2020/11/02","PMC7833476","NIHMS1659147","10.1016/j.neuroimage.2020.117517"
"33112698","Whole brain mapping of somatosensory responses in awake marmosets investigated with ultra-high-field fMRI","Cléry JC, Hori Y, Schaeffer DJ, Gati JS, Pruszynski JA, Everling S.","J Neurophysiol. 2020 Dec 1;124(6):1900-1913. doi: 10.1152/jn.00480.2020. Epub 2020 Oct 28.","Cléry JC","J Neurophysiol","2020","2020/10/28","","","10.1152/jn.00480.2020"
"33067998","Connectivity of the Cingulate Sulcus Visual Area (CSv) in Macaque Monkeys","De Castro V, Smith AT, Beer AL, Leguen C, Vayssière N, Héjja-Brichard Y, Audurier P, Cottereau BR, Durand JB.","Cereb Cortex. 2021 Jan 5;31(2):1347-1364. doi: 10.1093/cercor/bhaa301.","De Castro V","Cereb Cortex","2021","2020/10/17","PMC7786354","","10.1093/cercor/bhaa301"
