PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34296111","A Causal Role of Area hMST for Self-Motion Perception in Humans","Schmitt C, Baltaretu BR, Crawford JD, Bremmer F.","Cereb Cortex Commun. 2020 Jul 30;1(1):tgaa042. doi: 10.1093/texcom/tgaa042. eCollection 2020.","Schmitt C","Cereb Cortex Commun","2020","2021/07/23","PMC8152865","","10.1093/texcom/tgaa042"
"34131035","Moving a Shape behind a Slit: Partial Shape Representations in Inferior Temporal Cortex","Bognár A, Vogels R.","J Neurosci. 2021 Jul 28;41(30):6484-6501. doi: 10.1523/JNEUROSCI.0348-21.2021. Epub 2021 Jun 15.","Bognár A","J Neurosci","2021","2021/06/16","PMC8318075","","10.1523/JNEUROSCI.0348-21.2021"
"34043075","Optic flow selectivity in the macaque parieto-occipital sulcus","Pitzalis S, Hadj-Bouziane F, Dal Bò G, Guedj C, Strappini F, Meunier M, Farnè A, Fattori P, Galletti C.","Brain Struct Funct. 2021 May 27. doi: 10.1007/s00429-021-02293-w. Online ahead of print.","Pitzalis S","Brain Struct Funct","2021","2021/05/27","","","10.1007/s00429-021-02293-w"
"33833228","Primate ventral striatum maintains neural representations of the value of previously rewarded objects for habitual seeking","Kang J, Kim H, Hwang SH, Han M, Lee SH, Kim HF.","Nat Commun. 2021 Apr 8;12(1):2100. doi: 10.1038/s41467-021-22335-5.","Kang J","Nat Commun","2021","2021/04/09","PMC8032767","","10.1038/s41467-021-22335-5"
"33822908","Brain Activity Fluctuations Propagate as Waves Traversing the Cortical Hierarchy","Gu Y, Sainburg LE, Kuang S, Han F, Williams JW, Liu Y, Zhang N, Zhang X, Leopold DA, Liu X.","Cereb Cortex. 2021 Jul 29;31(9):3986-4005. doi: 10.1093/cercor/bhab064.","Gu Y","Cereb Cortex","2021","2021/04/06","","","10.1093/cercor/bhab064"
"33794360","The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging","Hartig R, Glen D, Jung B, Logothetis NK, Paxinos G, Garza-Villarreal EA, Messinger A, Evrard HC.","Neuroimage. 2021 Jul 15;235:117996. doi: 10.1016/j.neuroimage.2021.117996. Epub 2021 Mar 29.","Hartig R","Neuroimage","2021","2021/04/01","","","10.1016/j.neuroimage.2021.117996"
"33789138","A comprehensive macaque fMRI pipeline and hierarchical atlas","Jung B, Taylor PA, Seidlitz J, Sponheim C, Perkins P, Ungerleider LG, Glen D, Messinger A.","Neuroimage. 2021 Jul 15;235:117997. doi: 10.1016/j.neuroimage.2021.117997. Epub 2021 Mar 28.","Jung B","Neuroimage","2021","2021/03/31","","","10.1016/j.neuroimage.2021.117997"
"33757907","Examining cross-modal fMRI adaptation for observed and executed actions in the monkey brain","Cui D, Nelissen K.","Neuroimage. 2021 Jun;233:117988. doi: 10.1016/j.neuroimage.2021.117988. Epub 2021 Mar 20.","Cui D","Neuroimage","2021","2021/03/24","","","10.1016/j.neuroimage.2021.117988"
"33667342","Electrical stimulation of the macaque ventral tegmental area drives category-selective learning without attention","Murris SR, Arsenault JT, Raman R, Vogels R, Vanduffel W.","Neuron. 2021 Apr 21;109(8):1381-1395.e7. doi: 10.1016/j.neuron.2021.02.013. Epub 2021 Mar 4.","Murris SR","Neuron","2021","2021/03/05","","","10.1016/j.neuron.2021.02.013"
"33631015","Magnetic Resonance Imaging of Marmoset Monkeys","Schaeffer DJ, Liu C, Silva AC, Everling S.","ILAR J. 2021 Feb 26:ilaa029. doi: 10.1093/ilar/ilaa029. Online ahead of print.","Schaeffer DJ","ILAR J","2021","2021/02/25","","","10.1093/ilar/ilaa029"
"33593730","MRI Compatible, Customizable, and 3D-Printable Microdrive for Neuroscience Research","Baeg E, Doudlah R, Swader R, Lee H, Han M, Kim SG, Rosenberg A, Kim B.","eNeuro. 2021 Mar 12;8(2):ENEURO.0495-20.2021. doi: 10.1523/ENEURO.0495-20.2021. Print 2021 Mar-Apr.","Baeg E","eNeuro","2021","2021/02/17","PMC7986532","","10.1523/ENEURO.0495-20.2021"
